675,篮球频道,频道页,http://doitedu.cn/006599.html
467,足球频道,详情页,http://doitedu.cn/003810.html
296,羽球频道,T,http://doitedu.cn/004881.html
691,社会新闻,Q,http://doitedu.cn/007402.html
125,热点新闻,W,http://doitedu.cn/002582.html
944,热点推荐,P,http://doitedu.cn/008115.html
853,关注推荐,M,http://doitedu.cn/006645.html
451,h,N,http://doitedu.cn/008540.html
800,j,Y,http://doitedu.cn/004172.html
666,c,D,http://doitedu.cn/002676.html
870,k,X,http://doitedu.cn/006564.html
919,a,G,http://doitedu.cn/008062.html
926,v,R,http://doitedu.cn/008089.html
591,l,U,http://doitedu.cn/008581.html
447,m,E,http://doitedu.cn/007628.html
475,l,R,http://doitedu.cn/006989.html
574,j,Z,http://doitedu.cn/004923.html
613,r,S,http://doitedu.cn/005675.html
307,h,X,http://doitedu.cn/008533.html
718,p,N,http://doitedu.cn/005702.html
205,x,G,http://doitedu.cn/003531.html
544,u,L,http://doitedu.cn/008094.html
577,h,K,http://doitedu.cn/003944.html
169,n,W,http://doitedu.cn/002359.html
030,h,M,http://doitedu.cn/007147.html
740,y,V,http://doitedu.cn/002907.html
334,z,U,http://doitedu.cn/006413.html
747,j,E,http://doitedu.cn/009342.html
581,u,F,http://doitedu.cn/004496.html
711,j,S,http://doitedu.cn/009326.html
647,x,Y,http://doitedu.cn/009011.html
442,c,Q,http://doitedu.cn/005402.html
272,w,A,http://doitedu.cn/009293.html
462,l,V,http://doitedu.cn/006857.html
743,f,J,http://doitedu.cn/009839.html
470,u,G,http://doitedu.cn/004652.html
975,o,H,http://doitedu.cn/002405.html
383,h,Q,http://doitedu.cn/008873.html
234,a,Y,http://doitedu.cn/004920.html
700,m,Q,http://doitedu.cn/005241.html
282,j,U,http://doitedu.cn/008322.html
448,o,O,http://doitedu.cn/009875.html
232,x,X,http://doitedu.cn/006489.html
088,s,T,http://doitedu.cn/002631.html
940,l,C,http://doitedu.cn/007315.html
635,h,O,http://doitedu.cn/009291.html
851,q,J,http://doitedu.cn/006197.html
862,b,E,http://doitedu.cn/003409.html
155,a,M,http://doitedu.cn/006695.html
886,h,M,http://doitedu.cn/008612.html
483,d,I,http://doitedu.cn/002897.html
132,i,T,http://doitedu.cn/009417.html
317,b,P,http://doitedu.cn/006577.html
154,m,K,http://doitedu.cn/006617.html
987,j,J,http://doitedu.cn/004803.html
714,z,B,http://doitedu.cn/002554.html
727,z,T,http://doitedu.cn/001324.html
625,o,R,http://doitedu.cn/004838.html
428,a,S,http://doitedu.cn/003089.html
388,t,F,http://doitedu.cn/003623.html
200,h,Z,http://doitedu.cn/008693.html
521,l,B,http://doitedu.cn/004676.html
495,x,X,http://doitedu.cn/004060.html
986,z,K,http://doitedu.cn/001098.html
672,k,I,http://doitedu.cn/004472.html
938,p,P,http://doitedu.cn/002095.html
009,b,O,http://doitedu.cn/008204.html
854,c,X,http://doitedu.cn/008941.html
101,u,I,http://doitedu.cn/009259.html
415,i,V,http://doitedu.cn/006406.html
685,z,Q,http://doitedu.cn/002660.html
422,p,W,http://doitedu.cn/003071.html
979,k,L,http://doitedu.cn/009775.html
279,j,N,http://doitedu.cn/004239.html
543,r,W,http://doitedu.cn/005877.html
433,k,H,http://doitedu.cn/006099.html
595,d,M,http://doitedu.cn/004660.html
032,g,G,http://doitedu.cn/001748.html
323,h,Q,http://doitedu.cn/004209.html
351,x,B,http://doitedu.cn/001363.html
138,r,I,http://doitedu.cn/006612.html
387,y,H,http://doitedu.cn/002158.html
823,n,I,http://doitedu.cn/003366.html
361,s,F,http://doitedu.cn/006557.html
961,p,S,http://doitedu.cn/008904.html
788,z,M,http://doitedu.cn/009156.html
073,y,R,http://doitedu.cn/001091.html
309,g,D,http://doitedu.cn/008327.html
419,g,G,http://doitedu.cn/008414.html
724,j,M,http://doitedu.cn/008376.html
703,l,E,http://doitedu.cn/004990.html
065,c,W,http://doitedu.cn/003484.html
836,m,U,http://doitedu.cn/005580.html
534,k,M,http://doitedu.cn/003798.html
991,u,L,http://doitedu.cn/005931.html
424,l,Q,http://doitedu.cn/003587.html
863,z,M,http://doitedu.cn/006726.html
112,i,O,http://doitedu.cn/006770.html
586,i,F,http://doitedu.cn/009402.html
434,u,K,http://doitedu.cn/005968.html
686,e,R,http://doitedu.cn/005580.html
626,v,M,http://doitedu.cn/006869.html
468,o,V,http://doitedu.cn/009751.html
974,k,P,http://doitedu.cn/001585.html
890,w,B,http://doitedu.cn/009687.html
459,t,W,http://doitedu.cn/004179.html
087,h,P,http://doitedu.cn/008757.html
356,p,T,http://doitedu.cn/001087.html
308,w,Q,http://doitedu.cn/009146.html
710,w,L,http://doitedu.cn/003597.html
348,q,U,http://doitedu.cn/005516.html
512,v,T,http://doitedu.cn/005407.html
446,n,G,http://doitedu.cn/005893.html
541,h,P,http://doitedu.cn/009806.html
970,r,L,http://doitedu.cn/009894.html
478,a,J,http://doitedu.cn/006244.html
113,s,Y,http://doitedu.cn/007028.html
432,x,S,http://doitedu.cn/006948.html
584,s,S,http://doitedu.cn/002290.html
048,m,D,http://doitedu.cn/009523.html
406,c,V,http://doitedu.cn/007806.html
652,a,K,http://doitedu.cn/007812.html
880,w,P,http://doitedu.cn/008656.html
924,s,V,http://doitedu.cn/001675.html
443,x,F,http://doitedu.cn/007657.html
910,m,P,http://doitedu.cn/007210.html
786,y,P,http://doitedu.cn/005860.html
133,n,T,http://doitedu.cn/008886.html
878,n,H,http://doitedu.cn/006099.html
874,o,Z,http://doitedu.cn/009324.html
737,q,C,http://doitedu.cn/005773.html
287,w,M,http://doitedu.cn/005841.html
670,z,C,http://doitedu.cn/004892.html
524,g,H,http://doitedu.cn/001706.html
425,f,Z,http://doitedu.cn/002069.html
995,k,O,http://doitedu.cn/003068.html
365,g,L,http://doitedu.cn/002983.html
028,s,L,http://doitedu.cn/003861.html
895,w,Q,http://doitedu.cn/005786.html
389,s,F,http://doitedu.cn/004950.html
966,g,R,http://doitedu.cn/001079.html
789,o,Q,http://doitedu.cn/005209.html
989,y,F,http://doitedu.cn/008331.html
162,x,Q,http://doitedu.cn/002800.html
903,g,J,http://doitedu.cn/006014.html
310,p,R,http://doitedu.cn/007256.html
250,t,Z,http://doitedu.cn/002639.html
139,f,Y,http://doitedu.cn/003132.html
379,i,F,http://doitedu.cn/007857.html
782,y,H,http://doitedu.cn/002268.html
559,q,V,http://doitedu.cn/002718.html
352,m,Q,http://doitedu.cn/006002.html
695,m,N,http://doitedu.cn/008567.html
160,c,H,http://doitedu.cn/007200.html
894,w,C,http://doitedu.cn/006811.html
